airline_id,airline_name,airline_created_date,promotion_id,promotion_name,promotion_comments,reward_id,reward_name,reward_comments,redemption_id,redemption_date,passenger_id,miles_used
2,Horizon Airways 2,1974-06-11,486,Business Class Upgrade 2026,Valid for flights over 3475 miles,737,Extra Baggage Coupon,Expiry: 70 days after redemption,20000,2026-01-02,6420,22078
36,Global Jet 36,1996-04-19,459,Holiday Special 2026,Valid for flights over 2619 miles,738,Priority Boarding Coupon,Expiry: 36 days after redemption,20001,2026-01-29,9185,8267
63,Global Jet 63,2008-03-19,460,Business Class Upgrade 2026,Valid for flights over 1567 miles,766,Priority Boarding Coupon,Expiry: 43 days after redemption,20002,2026-02-20,8577,6821
18,Global Jet 18,2011-11-25,482,First Class Access 2026,Valid for flights over 4221 miles,724,Double Points Coupon,Expiry: 59 days after redemption,20003,2026-02-21,8735,17615
36,Global Jet 36,1996-04-19,420,First Class Access 2026,Valid for flights over 3191 miles,783,Lounge Access Coupon,Expiry: 52 days after redemption,20004,2026-02-11,7674,24858
1,SkyBound 1,1974-11-29,428,Business Class Upgrade 2026,Valid for flights over 4293 miles,777,Lounge Access Coupon,Expiry: 44 days after redemption,20005,2026-02-09,7105,3814
62,AeroSwift 62,1972-07-15,470,First Class Access 2026,Valid for flights over 3235 miles,743,Double Points Coupon,Expiry: 66 days after redemption,20006,2026-01-19,5991,13002
23,AeroSwift 23,1982-06-08,485,Summer Miles 2026,Valid for flights over 3643 miles,799,Double Points Coupon,Expiry: 84 days after redemption,20007,2026-02-28,8412,6791
51,SkyBound 51,2015-01-20,433,Holiday Special 2026,Valid for flights over 4949 miles,730,Lounge Access Coupon,Expiry: 89 days after redemption,20008,2026-02-23,7216,18670
86,AeroSwift 86,1999-08-09,496,Black Friday Fly 2026,Valid for flights over 4842 miles,772,Extra Baggage Coupon,Expiry: 40 days after redemption,20009,2026-02-18,6251,6734
34,AeroSwift 34,1977-09-29,448,First Class Access 2026,Valid for flights over 995 miles,740,Free Meal Coupon,Expiry: 71 days after redemption,20010,2026-02-14,7583,10693
42,Horizon Airways 42,1987-03-11,418,Business Class Upgrade 2026,Valid for flights over 3799 miles,773,Priority Boarding Coupon,Expiry: 82 days after redemption,20011,2026-02-19,7169,3442
5,Global Jet 5,1987-06-05,431,Holiday Special 2026,Valid for flights over 4118 miles,736,Free Meal Coupon,Expiry: 78 days after redemption,20012,2026-02-19,7875,8168
